No,Food Name,Calorie,Carbohidrat,Fat,Protein,Price,link foto,how to cook,
11,"Ayam goreng church,texas paha",287,31,16,2,"24,000","https://assets-pergikuliner.com/kWfGMj-RIPh8JSVl70QrN_KkxFE=/312x0/smart/filters:watermark(https://assets-pergikuliner.com/uploads/image/picture/1081749/picture-1537473006.png,-0,-3,20)/https://assets-pergikuliner.com/uploads/image/picture/2012805/picture-1599367729.JPG","Bahan-bahan:

- 1 buah paha ayam, dengan tulang dan kulit
- 1 sendok teh garam
- 1/2 sendok teh merica bubuk
- 1/2 sendok teh bubuk paprika
- 1/4 sendok teh bubuk bawang putih
- 1/4 sendok teh bubuk bawang bombay
- 1/4 sendok teh bubuk oregano
- 1/4 sendok teh bubuk thyme
- 1/4 sendok teh bubuk cayenne pepper (opsional)
- 1/2 cangkir tepung serbaguna
- Minyak sayur, secukupnya untuk menggoreng

Langkah-langkah:

1. Bersihkan dan cuci bersih paha ayam. Biarkan tulang dan kulit tetap ada.

2. Campurkan garam, merica bubuk, bubuk paprika, bubuk bawang putih, bubuk bawang bombay, bubuk oregano, bubuk thyme, dan bubuk cayenne pepper (jika menggunakan) dalam sebuah mangkuk kecil. Aduk rata menjadi bumbu ayam.

3. Gulingkan paha ayam dalam bumbu ayam, pastikan semua sisi terbalut bumbu dengan merata.

4. Diamkan paha ayam selama sekitar 15-20 menit agar bumbu meresap.

5. Panaskan minyak sayur dalam wajan dengan api sedang.

6. Sementara itu, gulingkan paha ayam dalam tepung serbaguna, pastikan semua sisi terbalut tepung dengan merata.

7. Ketika minyak sudah cukup panas, masukkan paha ayam ke dalam wajan. Goreng dengan api sedang hingga paha ayam matang dan berwarna kecokelatan di luar, serta matang sempurna di dalam. Pastikan paha ayam matang hingga suhu dalam mencapai 75 derajat Celsius.

8. Angkat ayam goreng dari wajan dan tiriskan di atas kertas minyak atau tisu dapur untuk menghilangkan kelebihan minyak.

9. Ayam Goreng Church Texas (Paha) siap disajikan. Nikmati sebagai hidangan utama bersama saus dan pelengkap lainnya.

Selamat mencoba!
","Ayam goreng church,texas paha"
12,"Ayam goreng church texas, sayap",295,34,16,2,"23,000",https://w7.pngwing.com/pngs/362/492/png-transparent-chicken-fingers-church-s-chicken-fried-chicken-chicken-sandwich-chicken-nugget-spicy-chicken-food-recipe-chicken-meat.png,"Bahan-bahan:

- 4-6 sayap ayam
- 1 sendok teh garam
- 1/2 sendok teh merica bubuk
- 1/2 sendok teh bubuk paprika
- 1/4 sendok teh bubuk bawang putih
- 1/4 sendok teh bubuk bawang bombay
- 1/4 sendok teh bubuk oregano
- 1/4 sendok teh bubuk thyme
- 1/4 sendok teh bubuk cayenne pepper (opsional)
- 1/2 cangkir tepung serbaguna
- Minyak sayur, secukupnya untuk menggoreng

Langkah-langkah:

1. Bersihkan dan cuci bersih sayap ayam.

2. Campurkan garam, merica bubuk, bubuk paprika, bubuk bawang putih, bubuk bawang bombay, bubuk oregano, bubuk thyme, dan bubuk cayenne pepper (jika menggunakan) dalam sebuah mangkuk kecil. Aduk rata menjadi bumbu ayam.

3. Gulingkan sayap ayam dalam bumbu ayam, pastikan semua sisi terbalut bumbu dengan merata.

4. Diamkan sayap ayam selama sekitar 15-20 menit agar bumbu meresap.

5. Panaskan minyak sayur dalam wajan dengan api sedang.

6. Sementara itu, gulingkan sayap ayam dalam tepung serbaguna, pastikan semua sisi terbalut tepung dengan merata.

7. Ketika minyak sudah cukup panas, masukkan sayap ayam ke dalam wajan. Goreng dengan api sedang hingga sayap ayam matang dan berwarna kecokelatan di luar, serta matang sempurna di dalam. Pastikan sayap ayam matang hingga suhu dalam mencapai 75 derajat Celsius.

8. Angkat ayam goreng dari wajan dan tiriskan di atas kertas minyak atau tisu dapur untuk menghilangkan kelebihan minyak.

9. Ayam Goreng Church Texas (Sayap) siap disajikan. Nikmati sebagai hidangan utama bersama saus dan pelengkap lainnya.

Selamat mencoba!
","Ayam goreng church texas, sayap"
13,"Ayam goreng kalasan, paha",275,37,12,1,"20,000",https://images.tokopedia.net/img/cache/700/product-1/2018/1/22/0/0_03fa75aa-0492-4d29-9f88-74aded17b363_640_640.jpg,"Bahan-bahan:

- 1 buah paha ayam, dengan tulang dan kulit
- 3 siung bawang putih, haluskan
- 2 cm jahe, haluskan
- 1 sendok teh ketumbar bubuk
- 1 sendok teh garam
- 1/2 sendok teh gula merah, serut
- 1/2 sendok teh merica bubuk
- 1 sendok makan air jeruk nipis
- Minyak sayur, secukupnya untuk menggoreng

Langkah-langkah:

1. Bersihkan dan cuci bersih paha ayam. Biarkan tulang dan kulit tetap ada.

2. Dalam sebuah wadah, campurkan bawang putih halus, jahe halus, ketumbar bubuk, garam, gula merah serut, merica bubuk, dan air jeruk nipis. Aduk rata menjadi bumbu marinasi.

3. Lumuri paha ayam dengan bumbu marinasi, pastikan semua sisi terbalut bumbu dengan merata. Diamkan dalam lemari es selama minimal 1 jam agar bumbu meresap lebih baik, atau biarkan semalaman untuk hasil yang lebih maksimal.

4. Panaskan minyak sayur dalam wajan dengan api sedang.

5. Goreng paha ayam dalam minyak panas hingga matang dan berwarna kecokelatan. Pastikan ayam matang sempurna di dalamnya dengan memastikan suhu dalam mencapai 75 derajat Celsius.

6. Angkat ayam goreng kalasan dari wajan dan tiriskan di atas kertas minyak atau tisu dapur untuk menghilangkan kelebihan minyak.

7. Ayam Goreng Kalasan (Paha) siap disajikan. Nikmati sebagai hidangan utama bersama nasi hangat, sambal, dan pelengkap lainnya.

Selamat mencoba!
","Ayam goreng kalasan, paha"
14,"Ayam goreng kentucky, dada",298,34,17,0,"22,000",https://cf.shopee.co.id/file/07165d1f58fe707be3bf0694ec466405,"Bahan-bahan:

- 1 buah dada ayam, dengan tulang dan kulit
- 1 sendok teh garam
- 1/2 sendok teh merica bubuk
- 1/2 sendok teh bubuk paprika
- 1/4 sendok teh bubuk bawang putih
- 1/4 sendok teh bubuk bawang bombay
- 1/4 sendok teh bubuk oregano
- 1/4 sendok teh bubuk thyme
- 1/4 sendok teh bubuk cayenne pepper (opsional)
- 1/2 cangkir tepung terigu
- 1/4 cangkir tepung maizena
- 1 sendok teh baking powder
- 1 sendok teh gula
- 1/2 cangkir susu cair
- Minyak sayur, secukupnya untuk menggoreng

Langkah-langkah:

1. Bersihkan dan cuci bersih dada ayam. Biarkan tulang dan kulit tetap ada.

2. Campurkan garam, merica bubuk, bubuk paprika, bubuk bawang putih, bubuk bawang bombay, bubuk oregano, bubuk thyme, dan bubuk cayenne pepper (jika menggunakan) dalam sebuah mangkuk kecil. Aduk rata menjadi bumbu ayam.

3. Lumuri dada ayam dengan bumbu ayam, pastikan semua sisi terbalut bumbu dengan merata. Diamkan selama sekitar 30 menit agar bumbu meresap.

4. Panaskan minyak sayur dalam wajan dengan api sedang.

5. Sementara itu, dalam mangkuk terpisah, campurkan tepung terigu, tepung maizena, baking powder, dan gula. Aduk rata.

6. Tambahkan susu cair sedikit demi sedikit ke dalam campuran tepung sambil terus mengaduk hingga adonan menjadi kental dan bergerindil.

7. Celupkan potongan dada ayam ke dalam adonan tepung, pastikan semua sisi terbalut tepung dengan merata.

8. Goreng dada ayam dalam minyak panas hingga matang dan berwarna kecokelatan. Pastikan ayam matang sempurna di dalamnya dengan memastikan suhu dalam mencapai 75 derajat Celsius.

9. Angkat ayam goreng dari wajan dan tiriskan di atas kertas minyak atau tisu dapur untuk menghilangkan kelebihan minyak.

10. Ayam Goreng Kentucky (Dada) siap disajikan. Nikmati sebagai hidangan utama bersama saus dan pelengkap lainnya.

Selamat mencoba!
","Ayam goreng kentucky, dada"
15,"Ayam goreng Kentucky, paha",286,32,16,1,"21,000",https://e7.pngegg.com/pngimages/994/956/png-clipart-fried-drumstick-chicken-jeonju-fried-chicken-kfc-chicken-sandwich-hd-fried-chicken-barbecue-food.png,"Bahan-bahan:

- 1 buah paha ayam, dengan tulang dan kulit
- 1 sendok teh garam
- 1/2 sendok teh merica bubuk
- 1/2 sendok teh bubuk paprika
- 1/4 sendok teh bubuk bawang putih
- 1/4 sendok teh bubuk bawang bombay
- 1/4 sendok teh bubuk oregano
- 1/4 sendok teh bubuk thyme
- 1/4 sendok teh bubuk cayenne pepper (opsional)
- 1/2 cangkir tepung terigu
- 1/4 cangkir tepung maizena
- 1 sendok teh baking powder
- 1 sendok teh gula
- 1/2 cangkir susu cair
- Minyak sayur, secukupnya untuk menggoreng

Langkah-langkah:

1. Bersihkan dan cuci bersih paha ayam. Biarkan tulang dan kulit tetap ada.

2. Campurkan garam, merica bubuk, bubuk paprika, bubuk bawang putih, bubuk bawang bombay, bubuk oregano, bubuk thyme, dan bubuk cayenne pepper (jika menggunakan) dalam sebuah mangkuk kecil. Aduk rata menjadi bumbu ayam.

3. Lumuri paha ayam dengan bumbu ayam, pastikan semua sisi terbalut bumbu dengan merata. Diamkan selama sekitar 30 menit agar bumbu meresap.

4. Panaskan minyak sayur dalam wajan dengan api sedang.

5. Sementara itu, dalam mangkuk terpisah, campurkan tepung terigu, tepung maizena, baking powder, dan gula. Aduk rata.

6. Tambahkan susu cair sedikit demi sedikit ke dalam campuran tepung sambil terus mengaduk hingga adonan menjadi kental dan bergerindil.

7. Celupkan paha ayam ke dalam adonan tepung, pastikan semua sisi terbalut tepung dengan merata.

8. Goreng paha ayam dalam minyak panas hingga matang dan berwarna kecokelatan. Pastikan ayam matang sempurna di dalamnya dengan memastikan suhu dalam mencapai 75 derajat Celsius.

9. Angkat ayam goreng dari wajan dan tiriskan di atas kertas minyak atau tisu dapur untuk menghilangkan kelebihan minyak.

10. Ayam Goreng Kentucky (Paha) siap disajikan. Nikmati sebagai hidangan utama bersama saus dan pelengkap lainnya.

Selamat mencoba!
","Ayam goreng Kentucky, paha"
16,"Ayam goreng Kentucky,sayap",297,36,15,2,"20,000",https://img-global.cpcdn.com/recipes/8eda02dd29333c7c/1200x630cq70/photo.jpg,"Bahan-bahan:

- 4-5 buah sayap ayam, dengan tulang dan kulit
- 1 sendok teh garam
- 1/2 sendok teh merica bubuk
- 1/2 sendok teh bubuk paprika
- 1/4 sendok teh bubuk bawang putih
- 1/4 sendok teh bubuk bawang bombay
- 1/4 sendok teh bubuk oregano
- 1/4 sendok teh bubuk thyme
- 1/4 sendok teh bubuk cayenne pepper (opsional)
- 1/2 cangkir tepung terigu
- 1/4 cangkir tepung maizena
- 1 sendok teh baking powder
- 1 sendok teh gula
- 1/2 cangkir susu cair
- Minyak sayur, secukupnya untuk menggoreng

Langkah-langkah:

1. Bersihkan dan cuci bersih sayap ayam. Biarkan tulang dan kulit tetap ada.

2. Campurkan garam, merica bubuk, bubuk paprika, bubuk bawang putih, bubuk bawang bombay, bubuk oregano, bubuk thyme, dan bubuk cayenne pepper (jika menggunakan) dalam sebuah mangkuk kecil. Aduk rata menjadi bumbu ayam.

3. Lumuri sayap ayam dengan bumbu ayam, pastikan semua sisi terbalut bumbu dengan merata. Diamkan selama sekitar 30 menit agar bumbu meresap.

4. Panaskan minyak sayur dalam wajan dengan api sedang.

5. Sementara itu, dalam mangkuk terpisah, campurkan tepung terigu, tepung maizena, baking powder, dan gula. Aduk rata.

6. Tambahkan susu cair sedikit demi sedikit ke dalam campuran tepung sambil terus mengaduk hingga adonan menjadi kental dan bergerindil.

7. Celupkan sayap ayam ke dalam adonan tepung, pastikan semua sisi terbalut tepung dengan merata.

8. Goreng sayap ayam dalam minyak panas hingga matang dan berwarna kecokelatan. Pastikan ayam matang sempurna di dalamnya dengan memastikan suhu dalam mencapai 75 derajat Celsius.

9. Angkat ayam goreng dari wajan dan tiriskan di atas kertas minyak atau tisu dapur untuk menghilangkan kelebihan minyak.

10. Ayam Goreng Kentucky (Sayap) siap disajikan. Nikmati sebagai hidangan utama bersama saus dan pelengkap lainnya.

Selamat mencoba!
","Ayam goreng Kentucky,sayap"
17,Ayam goreng mbok berek dada,295,39,14,1,"23,000",https://img-global.cpcdn.com/recipes/d15c8abab4246c58/680x482cq70/ayam-goreng-mbok-berek-foto-resep-utama.jpg,"Bahan-bahan:

- 1 buah dada ayam, dengan tulang dan kulit
- 2 sendok makan tepung terigu
- 2 sendok makan tepung beras
- 1 sendok teh bawang putih bubuk
- 1 sendok teh ketumbar bubuk
- 1/2 sendok teh garam
- 1/2 sendok teh merica bubuk
- 1/4 sendok teh kaldu bubuk
- Minyak sayur, secukupnya untuk menggoreng

Langkah-langkah:

1. Bersihkan dan cuci bersih dada ayam. Biarkan tulang dan kulit tetap ada.

2. Dalam sebuah wadah, campurkan tepung terigu, tepung beras, bawang putih bubuk, ketumbar bubuk, garam, dan merica bubuk. Aduk rata.

3. Lumuri dada ayam dengan campuran tepung hingga merata, pastikan semua sisi terbalut tepung.

4. Panaskan minyak sayur dalam wajan dengan api sedang.

5. Goreng dada ayam dalam minyak panas hingga matang dan berwarna kecokelatan. Pastikan ayam matang sempurna di dalamnya dengan memastikan suhu dalam mencapai 75 derajat Celsius.

6. Angkat ayam goreng dari wajan dan tiriskan di atas kertas minyak atau tisu dapur untuk menghilangkan kelebihan minyak.

7. Taburi ayam goreng dengan kaldu bubuk, bisa ditaburkan secara merata atau sesuai selera.

8. Ayam Goreng Mbok Berek (Dada) siap disajikan. Nikmati sebagai hidangan utama bersama nasi dan pelengkap lainnya.

Selamat mencoba!
",Ayam goreng mbok berek dada
18,"Ayam goreng pasundan, dada",246,38,9,1,"24,000",https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/IDITE2021120714385615653/detail/menueditor_item_94a52bfa0e1141e7a0383675a76bad0c_1639032083874939397.webp,"Bahan-bahan:

- 1 buah dada ayam, dengan tulang dan kulit
- 2 sendok makan air jeruk nipis
- 2 sendok makan kecap manis
- 2 siung bawang putih, haluskan
- 1/2 sendok teh garam
- 1/2 sendok teh merica bubuk
- 1/2 sendok teh bubuk ketumbar
- Minyak sayur, secukupnya untuk menggoreng

Langkah-langkah:

1. Bersihkan dan cuci bersih dada ayam. Biarkan tulang dan kulit tetap ada.

2. Dalam sebuah wadah, campurkan air jeruk nipis, kecap manis, bawang putih halus, garam, merica bubuk, dan bubuk ketumbar. Aduk rata menjadi bumbu marinasi.

3. Lumuri dada ayam dengan bumbu marinasi, pastikan semua sisi terbalut bumbu dengan merata. Diamkan selama minimal 30 menit agar bumbu meresap. Lebih lama marinasi akan memberikan rasa yang lebih kaya.

4. Panaskan minyak sayur dalam wajan dengan api sedang.

5. Goreng dada ayam dalam minyak panas hingga matang dan berwarna kecokelatan. Pastikan ayam matang sempurna di dalamnya dengan memastikan suhu dalam mencapai 75 derajat Celsius.

6. Angkat ayam goreng dari wajan dan tiriskan di atas kertas minyak atau tisu dapur untuk menghilangkan kelebihan minyak.

7. Ayam Goreng Pasundan (Dada) siap disajikan. Nikmati sebagai hidangan utama bersama nasi dan pelengkap lainnya.

Selamat mencoba!
","Ayam goreng pasundan, dada"
19,"Ayam goreng pasundan, paha",245,33,11,0,"23,000",https://img.inews.co.id/media/1200/files/inews_new/2020/10/31/IMG_31102020_085106__822_x_430_piksel_.jpg,"Bahan-bahan:

- 1 buah paha ayam, dengan tulang dan kulit
- 2 sendok makan air jeruk nipis
- 2 sendok makan kecap manis
- 2 siung bawang putih, haluskan
- 1/2 sendok teh garam
- 1/2 sendok teh merica bubuk
- 1/2 sendok teh bubuk ketumbar
- Minyak sayur, secukupnya untuk menggoreng

Langkah-langkah:

1. Bersihkan dan cuci bersih paha ayam. Biarkan tulang dan kulit tetap ada.

2. Dalam sebuah wadah, campurkan air jeruk nipis, kecap manis, bawang putih halus, garam, merica bubuk, dan bubuk ketumbar. Aduk rata menjadi bumbu marinasi.

3. Lumuri paha ayam dengan bumbu marinasi, pastikan semua sisi terbalut bumbu dengan merata. Diamkan selama minimal 30 menit agar bumbu meresap. Lebih lama marinasi akan memberikan rasa yang lebih kaya.

4. Panaskan minyak sayur dalam wajan dengan api sedang.

5. Goreng paha ayam dalam minyak panas hingga matang dan berwarna kecokelatan. Pastikan ayam matang sempurna di dalamnya dengan memastikan suhu dalam mencapai 75 derajat Celsius.

6. Angkat ayam goreng dari wajan dan tiriskan di atas kertas minyak atau tisu dapur untuk menghilangkan kelebihan minyak.

7. Ayam Goreng Pasundan (Paha) siap disajikan. Nikmati sebagai hidangan utama bersama nasi dan pelengkap lainnya.

Selamat mencoba!
","Ayam goreng pasundan, paha"
20,"Ayam goreng pioneer, dada",295,37,15,1,"23,000",https://letsgochicken.id/wp-content/uploads/2020/12/Dada-Original.jpg,"Bahan-bahan:

- 1 buah dada ayam, dengan tulang dan kulit
- 2 sendok makan air jeruk nipis
- 2 sendok makan kecap manis
- 2 siung bawang putih, haluskan
- 1/2 sendok teh garam
- 1/2 sendok teh merica bubuk
- 1/2 sendok teh bubuk paprika
- 1/2 sendok teh bubuk oregano
- Minyak sayur, secukupnya untuk menggoreng

Langkah-langkah:

1. Bersihkan dan cuci bersih dada ayam. Biarkan tulang dan kulit tetap ada.

2. Dalam sebuah wadah, campurkan air jeruk nipis, kecap manis, bawang putih halus, garam, merica bubuk, bubuk paprika, dan bubuk oregano. Aduk rata menjadi bumbu marinasi.

3. Lumuri dada ayam dengan bumbu marinasi, pastikan semua sisi terbalut bumbu dengan merata. Diamkan selama minimal 30 menit agar bumbu meresap. Lebih lama marinasi akan memberikan rasa yang lebih kaya.

4. Panaskan minyak sayur dalam wajan dengan api sedang.

5. Goreng dada ayam dalam minyak panas hingga matang dan berwarna kecokelatan. Pastikan ayam matang sempurna di dalamnya dengan memastikan suhu dalam mencapai 75 derajat Celsius.

6. Angkat ayam goreng dari wajan dan tiriskan di atas kertas minyak atau tisu dapur untuk menghilangkan kelebihan minyak.

7. Ayam Goreng Pioneer (Dada) siap disajikan. Nikmati sebagai hidangan utama bersama nasi dan pelengkap lainnya.

Selamat mencoba!
","Ayam goreng pioneer, dada"
21,"Ayam goreng sukabumi, dada",244,37,9,1,"22,000",https://i0.wp.com/i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/c5c22201-40d7-4bb1-9f2d-1a2b7b589f7c_Go-Biz_20211222_161155.jpeg?resize=728%2C500,"Bahan-bahan:

- 1 buah dada ayam, dengan tulang dan kulit
- 2 sendok makan air jeruk nipis
- 2 sendok makan kecap manis
- 2 siung bawang putih, haluskan
- 1/2 sendok teh garam
- 1/2 sendok teh merica bubuk
- 1/2 sendok teh bubuk ketumbar
- Minyak sayur, secukupnya untuk menggoreng

Langkah-langkah:

1. Bersihkan dan cuci bersih dada ayam. Biarkan tulang dan kulit tetap ada.

2. Dalam sebuah wadah, campurkan air jeruk nipis, kecap manis, bawang putih halus, garam, merica bubuk, dan bubuk ketumbar. Aduk rata menjadi bumbu marinasi.

3. Lumuri dada ayam dengan bumbu marinasi, pastikan semua sisi terbalut bumbu dengan merata. Diamkan selama minimal 30 menit agar bumbu meresap. Lebih lama marinasi akan memberikan rasa yang lebih kaya.

4. Panaskan minyak sayur dalam wajan dengan api sedang.

5. Goreng dada ayam dalam minyak panas hingga matang dan berwarna kecokelatan. Pastikan ayam matang sempurna di dalamnya dengan memastikan suhu dalam mencapai 75 derajat Celsius.

6. Angkat ayam goreng dari wajan dan tiriskan di atas kertas minyak atau tisu dapur untuk menghilangkan kelebihan minyak.

7. Ayam Goreng Sukabumi (Dada) siap disajikan. Nikmati sebagai hidangan utama bersama nasi dan pelengkap lainnya.

Selamat mencoba!
","Ayam goreng sukabumi, dada"
22,"Ayam goreng sukabumi, paha",283,36,14,1,"21,000",https://i0.wp.com/i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/9e19740b-24fa-43fc-a856-d92fa6e8b673_Go-Biz_20200913_142442.jpeg?resize=728%2C500,"Bahan-bahan:

- 1 buah paha ayam, dengan tulang dan kulit
- 2 sendok makan air jeruk nipis
- 2 sendok makan kecap manis
- 2 siung bawang putih, haluskan
- 1/2 sendok teh garam
- 1/2 sendok teh merica bubuk
- 1/2 sendok teh bubuk ketumbar
- Minyak sayur, secukupnya untuk menggoreng

Langkah-langkah:

1. Bersihkan dan cuci bersih paha ayam. Biarkan tulang dan kulit tetap ada.

2. Dalam sebuah wadah, campurkan air jeruk nipis, kecap manis, bawang putih halus, garam, merica bubuk, dan bubuk ketumbar. Aduk rata menjadi bumbu marinasi.

3. Lumuri paha ayam dengan bumbu marinasi, pastikan semua sisi terbalut bumbu dengan merata. Diamkan selama minimal 30 menit agar bumbu meresap. Lebih lama marinasi akan memberikan rasa yang lebih kaya.

4. Panaskan minyak sayur dalam wajan dengan api sedang.

5. Goreng paha ayam dalam minyak panas hingga matang dan berwarna kecokelatan. Pastikan ayam matang sempurna di dalamnya dengan memastikan suhu dalam mencapai 75 derajat Celsius.

6. Angkat ayam goreng dari wajan dan tiriskan di atas kertas minyak atau tisu dapur untuk menghilangkan kelebihan minyak.

7. Ayam Goreng Sukabumi (Paha) siap disajikan. Nikmati sebagai hidangan utama bersama nasi dan pelengkap lainnya.

Selamat mencoba!
","Ayam goreng sukabumi, paha"
23,"Ayam taliwang, masakan",264,18,20,3,"25,000",https://blue.kumparan.com/image/upload/v1634025439/f2ab158027e0fbfaba5a8ccaa99dbb0717e31c2fb3ea4e7d3d76695394cc9600.jpg,"Bahan-bahan:

- 1 potong ayam, bagian paha atau dada
- 2 sendok makan air jeruk nipis
- 2 sendok makan kecap manis
- 3 siung bawang putih, haluskan
- 3 buah cabai merah, haluskan (sesuaikan dengan tingkat kepedasan yang diinginkan)
- 1 sendok teh garam
- 1/2 sendok teh merica bubuk
- 1/2 sendok teh bubuk ketumbar
- 1/2 sendok teh gula pasir
- 1 batang serai, memarkan
- 2 lembar daun jeruk, sobek-sobek
- Minyak sayur, secukupnya untuk menggoreng

Langkah-langkah:

1. Bersihkan ayam dan potong menjadi beberapa bagian sesuai selera. Buang bagian kotoran dan lemak yang berlebihan.

2. Dalam sebuah wadah, campurkan air jeruk nipis, kecap manis, bawang putih halus, cabai merah halus, garam, merica bubuk, bubuk ketumbar, dan gula pasir. Aduk rata menjadi bumbu marinasi.

3. Lumuri ayam dengan bumbu marinasi, pastikan semua sisi terbalut bumbu dengan merata. Diamkan selama minimal 1 jam agar bumbu meresap. Lebih lama marinasi akan memberikan rasa yang lebih kaya.

4. Panaskan minyak sayur dalam wajan dengan api sedang.

5. Goreng ayam dalam minyak panas hingga matang dan berwarna kecokelatan. Pastikan ayam matang sempurna di dalamnya dengan memastikan suhu dalam mencapai 75 derajat Celsius.

6. Angkat ayam goreng dari wajan dan tiriskan di atas kertas minyak atau tisu dapur untuk menghilangkan kelebihan minyak.

7. Ayam Taliwang siap disajikan. Sajikan dengan nasi dan pelengkap seperti plecing kangkung, sambal terasi, dan irisan jeruk nipis.

Selamat mencoba!
","Ayam taliwang, masakan"
24,"Babi hutan masak rica, masakan",491,25,16,0,"30,000",https://img-global.cpcdn.com/recipes/3bb79acbfc908ed8/1200x630cq70/photo.jpg,"Bahan-bahan:

- 200 gram daging babi hutan, potong menjadi potongan kecil
- 3 buah cabai merah, iris tipis (sesuaikan dengan tingkat kepedasan yang diinginkan)
- 5 buah cabai rawit, iris tipis (sesuaikan dengan tingkat kepedasan yang diinginkan)
- 4 siung bawang putih, haluskan
- 2 cm jahe, haluskan
- 2 cm lengkuas, memarkan
- 2 lembar daun jeruk, sobek-sobek
- 1 batang serai, memarkan
- 1 sendok teh garam
- 1/2 sendok teh gula pasir
- 1/2 sendok teh merica bubuk
- 2 sendok makan minyak goreng

Langkah-langkah:

1. Panaskan minyak goreng dalam wajan dengan api sedang.

2. Tumis bawang putih, jahe, lengkuas, daun jeruk, dan serai hingga harum.

3. Masukkan potongan daging babi hutan. Tumis hingga daging berubah warna dan matang.

4. Tambahkan cabai merah, cabai rawit, garam, gula pasir, dan merica bubuk. Aduk rata.

5. Masak hingga daging babi hutan empuk dan bumbu meresap, sekitar 15-20 menit dengan api kecil. Jika perlu, tambahkan sedikit air untuk menjaga kelembapan dan mencegah bumbu terlalu kering.

6. Ayam Goreng Kentucky siap disajikan. Sajikan dengan nasi hangat dan pelengkap lainnya seperti sayur-sayuran rebus atau sambal terasi.

Selamat mencoba!
","Babi hutan masak rica, masakan"
25,Beef burger,258,11,10,33,"35,000",https://cdn.id9.site/burgerax/media/2020/09/beef-burger-e1644156606108.jpeg,"Bahan-bahan:

- 150 gram daging sapi cincang
- 1 buah roti burger
- 1 lembar daun selada
- 1 lembar keju cheddar
- 1/2 buah bawang bombay, iris tipis
- 1 siung bawang putih, haluskan
- 1 sendok teh saus tomat
- 1 sendok teh saus sambal (opsional)
- 1 sendok teh mustard
- 1 sendok teh saus Worcestershire
- Garam secukupnya
- Merica secukupnya
- Minyak sayur, secukupnya untuk menggoreng

Langkah-langkah:

1. Dalam sebuah wadah, campurkan daging sapi cincang, bawang putih halus, saus tomat, saus sambal (jika menggunakan), mustard, saus Worcestershire, garam, dan merica. Aduk rata hingga semua bahan tercampur dengan baik.

2. Bentuk adonan daging sapi menjadi bulatan pipih untuk menjadi patty burger.

3. Panaskan minyak sayur dalam wajan dengan api sedang.

4. Goreng patty burger dalam minyak panas hingga matang dan berwarna kecokelatan di kedua sisinya. Pastikan patty burger matang sempurna di dalamnya dengan memastikan suhu dalam mencapai 75 derajat Celsius.

5. Potong roti burger menjadi dua bagian horizontal dan panggang bagian dalamnya hingga sedikit garing.

6. Letakkan daun selada di atas bagian bawah roti burger.

7. Tempatkan patty burger yang sudah matang di atas daun selada.

8. Tambahkan irisan bawang bombay dan keju cheddar di atas patty burger.

9. Tutup burger dengan bagian atas roti.

10. Beef Burger siap disajikan. Nikmati dengan kentang goreng dan saus-saus favorit Anda.

Selamat mencoba!
",Beef burger
26,"Beef teriyaki, masakan",151,9,3,22,"40,000",https://i0.wp.com/resepkoki.id/wp-content/uploads/2017/08/Resep-Beef-Teriyaki.jpg?fit=1776%2C1184&ssl=1,"Bahan-bahan:

- 150 gram daging sapi, iris tipis
- 2 sendok makan saus teriyaki
- 1 sendok makan kecap manis
- 1 sendok makan mirin (anggur masak Jepang)
- 1 sendok makan minyak sayur
- 1/2 sendok teh bubuk bawang putih
- 1/2 sendok teh bubuk jahe
- 1/2 sendok teh gula pasir
- Minyak sayur, secukupnya untuk menggoreng

Langkah-langkah:

1. Dalam sebuah wadah, campurkan saus teriyaki, kecap manis, mirin, minyak sayur, bubuk bawang putih, bubuk jahe, dan gula pasir. Aduk rata hingga semua bahan tercampur dengan baik.

2. Masukkan iris daging sapi ke dalam adonan saus teriyaki. Pastikan semua bagian daging terbalut dengan rata oleh saus. Diamkan selama minimal 30 menit agar daging meresap bumbu dengan baik.

3. Panaskan minyak sayur dalam wajan dengan api sedang.

4. Tiriskan daging sapi dari marinasi, lalu masukkan ke dalam wajan panas. Goreng daging sapi hingga matang sesuai dengan tingkat kematangan yang diinginkan.

5. Setelah daging matang, tuangkan sisa marinasi ke dalam wajan. Masak selama beberapa menit hingga saus mengental dan melekat pada daging.

6. Angkat daging sapi teriyaki dari wajan dan sajikan dengan nasi hangat atau mie soba.

Selamat mencoba!
","Beef teriyaki, masakan"
